between75kand100k,DISTRICT ATTORNEY-MANHATTAN   ,SUPERVISING RACKETS INVESTIGATOR
between50kand75k,DISTRICT ATTORNEY-MANHATTAN   ,SENIOR RACKETS INVESTIGATOR
between25kand50k,DISTRICT ATTORNEY-MANHATTAN   ,RACKETS INVESTIGATOR
between50kand75k,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE
ADMIN FOR CHILDREN'S SVCS   ,between25kand50k     ,PRINCIPAL ADMINISTRATIVE ASSOCIATE
ADMIN FOR CHILDREN'S SVCS    ,between50kand75k     ,PRINCIPAL ADMINISTRATIVE ASSOCIATE
ADMIN FOR CHILDREN'S SVCS    ,between50kand75k     ,PRINCIPAL ADMINISTRATIVE ASSOCIATE
between25kand50k,COMMUNITY ASSOCIATE,DISTRICT ATTORNEY-MANHATTAN
ADMINISTRATIVE STAFF ANALYST    ,between100kand125k,DISTRICT ATTORNEY-MANHATTAN
between25kand50k   ,COMMUNITY ASSOCIATE,DISTRICT ATTORNEY-MANHATTAN
ADMINISTRATIVE STAFF ANALYST ,between100kand125k,DISTRICT ATTORNEY-MANHATTAN
COLLEGE AIDE, DISTRICT ATTORNEY-MANHATTAN ,lessthan25k
ASSISTANT DISTRICT ATTORNEY   ,between50kand75k    ,DISTRICT ATTORNEY-MANHATTAN
ASSISTANT DISTRICT ATTORNEY   ,between75kand100k, DISTRICT ATTORNEY-MANHATTAN
between25kand50k   ,COMMUNITY ASSOCIATE, DISTRICT ATTORNEY-MANHATTAN
between25kand50k   ,COMMUNITY ASSOCIATE, DISTRICT ATTORNEY-MANHATTAN
between50kand75k	, DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE
between25kand50k   ,COMMUNITY ASSOCIATE , DISTRICT ATTORNEY-MANHATTAN
between25kand50k   ,COMMUNITY ASSOCIATE , DISTRICT ATTORNEY-MANHATTAN
between50kand75k   ,COMMUNITY COORDINATOR, DISTRICT ATTORNEY-MANHATTAN
between50kand75k	,DISTRICT ATTORNEY-MANHATTAN   ,SENIOR RACKETS INVESTIGATOR
between100kand125k	,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ACCOUNTANT INVESTIGATOR
between25kand50k   ,COMMUNITY ASSOCIATE	,DISTRICT ATTORNEY-MANHATTAN
lessthan25k   ,COLLEGE AIDE	,DISTRICT ATTORNEY-MANHATTAN
between50kand75k	,DISTRICT ATTORNEY-MANHATTAN   ,SENIOR RACKETS INVESTIGATOR
